Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuitegoogle,Chrome 72.0.3626.119,,2019-03-06 20:05:02,2019-03-06 20:05:10,7.934s,PASSED
,,,,,,
Test Cases/openbrowsergoogle,Chrome 72.0.3626.119,,2019-03-06 20:05:02,2019-03-06 20:05:09,6.867s,PASSED
"openBrowser("""")",Chrome 72.0.3626.119,,2019-03-06 20:05:02,2019-03-06 20:05:07,4.396s,PASSED
"navigateToUrl(""https://google.com"")",Chrome 72.0.3626.119,,2019-03-06 20:05:07,2019-03-06 20:05:08,0.788s,PASSED
maximizeWindow(),Chrome 72.0.3626.119,,2019-03-06 20:05:08,2019-03-06 20:05:09,1.172s,PASSED
