Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuitefoodia,Chrome 72.0.3626.119,,2019-03-06 20:04:45,2019-03-06 20:04:59,14.357s,PASSED
,,,,,,
Test Cases/openbrowserFoodia,Chrome 72.0.3626.119,,2019-03-06 20:04:45,2019-03-06 20:04:59,13.264s,PASSED
"openBrowser("""")",Chrome 72.0.3626.119,,2019-03-06 20:04:46,2019-03-06 20:04:51,4.790s,PASSED
"navigateToUrl(""https://foodia.com"")",Chrome 72.0.3626.119,,2019-03-06 20:04:51,2019-03-06 20:04:57,6.456s,PASSED
maximizeWindow(),Chrome 72.0.3626.119,,2019-03-06 20:04:57,2019-03-06 20:04:59,1.416s,PASSED
