Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
testsuite,Chrome 72.0.3626.119,,2019-03-06 19:58:50,2019-03-06 19:59:07,16.271s,PASSED
,,,,,,
Test Cases/TC01-Login,Chrome 72.0.3626.119,,2019-03-06 19:58:51,2019-03-06 19:59:06,15.137s,PASSED
"openBrowser("""")",Chrome 72.0.3626.119,,2019-03-06 19:58:51,2019-03-06 19:58:56,4.319s,PASSED
"navigateToUrl(""https://foodia.com"")",Chrome 72.0.3626.119,,2019-03-06 19:58:56,2019-03-06 19:59:04,8.833s,PASSED
maximizeWindow(),Chrome 72.0.3626.119,,2019-03-06 19:59:04,2019-03-06 19:59:06,1.379s,PASSED
